
stat             speed  thaco  dice  size  damage

dagger           1      0      1     4     0
short_sword      3      0      1     6     0
long_sword       5      0      1     8     0
scimitar         5      0      1     8     0
battleaxe        6      0      2     4     0
handaxe          4      0      2     3     0
bastard_sword    7      0      1     10    0

ninjato          2      0      1     6     0
wakizashi        3      0      1     8     0
katana           5      0      1     10    0

club             3      0      1     4     0
hammer           5      0      1     4     1
mace             6      0      2     3     0
morning_star     7      0      1     6     1
flail            8      0      2     4     0

staff            4      0      1     6     0
spear            6      0      1     8     0
halberd          8      0      1     10    0
twohanded_sword  10     0      2     6     0

dart             2      0      1     3     0
sling            6      0      0     0     0
short_bow        6      0      0     0     0
long_bow         7      0      0     0     1
comp_long_bow    7      0      0     0     1
light_xbow       5      1      0     0     0
heavy_xbow       10     1      0     0     2

arrow            0      0      1     6     0
bolt             0      0      1     10    0
bullet           0      0      1     4     1
