
weapon           speed  thaco  dice  size  damage

dagger           2      0      1     4     0
short_sword      3      0      1     6     0
long_sword       5      0      1     8     0
scimitar         5      0      1     8     0
battleaxe        7      0      1     8     0
handaxe          4      0      1     6     1
bastard_sword    8      0      2     4     0

ninjato          4      0      1     8     0
wakizashi        3      0      1     8     0
katana           4      0      1     10    0

club             4      0      1     6     0
hammer           4      0      1     4     1
mace             7      0      1     6     1
morning_star     7      0      2     4     0
flail            7      0      1     6     1

staff            4      0      1     6     0
spear            6      0      1     6     0
halberd          9      0      1     10    0
twohanded_sword  10     0      1     10    0

dart             2      0      1     3     0
sling            6      0      0     0     0
short_bow        6      0      0     0     0
long_bow         7      1      0     0     0
comp_long_bow    7      1      0     0     1
light_xbow       5      0      0     0     0
heavy_xbow       10     0      0     0     2

arrow            0      0      1     6     0
bolt             0      0      1     8     0
bullet           0      0      1     4     1
